Forcipomyia,Forcipomyia sp. DB 11421,species
Cyzicus,Cyzicus sp. M023,species
Latoia,Latoia intermissa,species
Ephemeroptera,Ameletopsidae,family
Geometridae,ennoMalaise01,genus
Geometridae,Cabera,genus
Hemigrapsus,Hemigrapsus penicillatus,species
Crabronidae,Dinetus,genus
Nymphalidae,Calisto,genus
Aphididae,Matsumuraja,genus
Ocypode,Ocypode quadrata,species
Chorebus,Chorebus petiolatus,species
Lepidoptera,Erebidae,family
Epischura,Epischura baicalensis,species
Limnephilus,Limnephilus ademus,species
Boops,Boops boops,species
Spirometra,Spirometra erinaceieuropaei,species
Emballonuridae,Coleura,genus
Xanthochorema,Xanthochorema caledon,species
Silo,Silo nigricornis,species
Epicyme,Epicyme rubropunctaria,species
Tonicellidae,Tonicella,genus
Megachile,Megachile pugnata,species
Argyresthia,Argyresthia annettella,species
Cheritra,Cheritra freja,species
Lethrinus,Lethrinus nebulosus,species
Oreoleuciscus,Oreoleuciscus potanini,species
Ceratozetidae,Jugatala,genus
Tenuipalpidae,Brevipalpus,genus
Desidae,Porteria,genus
Cryptotympana,Cryptotympana facialis,species
Agapostemon,Agapostemon viequesensis,species
Bisnius,Bisnius blandus,species
Erythridula,Erythridula bitincta,species
Decapoda,Porcellanidae,family
Ephydridae,Allotrichoma,genus
Scelionidae,Idris,genus
Aphidius,Aphidius cingulatus,species
Japanagromyza,Japanagromyza viridula,species
Myscelia,Myscelia cyanirisDHJ02,species
Oecophoridae,Harpella,genus
Egle,Egle ciliata,species
Decapoda,Oplophoridae,family
Mesostigmata,Polyaspididae,family
Pachynematus,Pachynematus vagus,species
Dicranota,Dicranota guerini,species
Calanoida,Heterorhabdidae,family
Ectatomma,Ectatomma edentatum,species
Urocoptidae,Brachypodella,genus
Mutillidae,Pseudomethoca,genus
Epicauta,Epicauta cinerea,species
Amaurocichla,Amaurocichla bocagii,species
Pegomya,Pegomya geniculata,species
Decapoda,Alvinocarididae,family
Myrmeleon,Myrmeleon mobilis,species
Thrips,Thrips flavus,species
Lepomis,Lepomis macrochirus,species
Sarcoptiformes,Glycyphagidae,family
Megaselia,Megaselia diversa,species
Pomatiidae,Tudorella,genus
Eulophidae,Quadrastichus,genus
Lambula,Lambula sp. USNM1,species
Thysanoptera,Thripidae,family
Elmidae,Grouvellinus,genus
Cyclophorus,Cyclophorus moellendorffi,species
Agelenidae,Textrix,genus
Erpobdella,Erpobdella testacea,species
Geometridae,Sericoptera,genus
Eisenia,Eisenia japonica,species
Beraeidae,Beraeodina,genus
Gobiidae,Acentrogobius,genus
Phyllonorycter,Phyllonorycter juncei,species
Aphis,Aphis fabae,species
Thudaca,Thudaca orthodroma,species
Pirascca,Pirascca sagaris,species
Crypsicharis,Crypsicharis enthetica,species
Insecta,Plecoptera,order
Fallapion,Fallapion pennsylvanicum,species
Pseudopharus,Pseudopharus hades,species
Stonemyia,Stonemyia rasa,species
Homoeopteryx,Homoeopteryx pinchcarchensis,species
Formicidae,Ochetellus,genus
Aphis,Aphis decepta,species
Chrysopa,Chrysopa chi,species
Diptera,Diopsidae,family
Cordulegaster,Cordulegaster insignis,species
Diptera,Odiniidae,family
Linyphiidae,Bathyphantes,genus
Noctuidae,Lemmeria,genus
Helicidae,Cornu,genus
Ophiomusaidae,Ophiomusa,genus
Isophya,Isophya thracica,species
Cicadellidae,Opsius,genus
Simulium,Simulium earlei,species
Amblycipitidae,Liobagrus,genus
Florideophyceae,Plocamiales,order
Eriopyga,Eriopyga vesquesa,species
Cerambycidae,Caciomorpha,genus
Coccidae,Rhodococcus,genus
Cornufer,Cornufer papuensis,species
Cicadellidae,Balala,genus
Mycetophilidae,Katatopygia,genus
Troides,Troides aeacus,species
Oestridae,Cuterebra,genus
Serranidae,Cephalopholis,genus
Ectoedemia,Ectoedemia mahalebella,species
Mormyridae,Petrocephalus,genus
Congridae,Conger,genus
Antipercnia,Antipercnia AH02Bu,species
Oecophoridae,Ironopolia,genus
Cicadellidae,Planicephalus,genus
Dorvilleidae,Dorvillea,genus
Cyanea,Cyanea capillata,species
Solaropsidae,Solaropsis,genus
Wrangeliaceae,Wrangelia,genus
Nototheniidae,Dissostichus,genus
Xylodonta,Xylodonta terrena,species
Dysodia,Dysodia sp.,species
Forcipomyia,Forcipomyia glauca,species
Rhodostrophia,Rhodostrophia tumulosa,species
Asilidae,Promachus,genus
Oxyopes,Oxyopes chenabensis,species
Prodoxidae,Prodoxus,genus
Chydoridae,Rhynchotalona,genus
Oxybelus,Oxybelus trispinosus,species
Homaloxestis,Homaloxestis briantiella,species
Parotis,Parotis marginata,species
Idalus,Idalus borealis,species
Staphylinidae,Neobisnius,genus
Cyprinidae,Opsarius,genus
Poecilopsetta,Poecilopsetta plinthus,species
Scolopendra,Scolopendra mojiangica,species
Salbia,Salbia haemorrhoidalis,species
Dendrodrilus,Dendrodrilus rubidus,species
Sphaeroceridae,Nearcticorpus,genus
Phytoseiidae,Phytoseius,genus
Centromus,Centromus trispinosus,species
Emberiza,Emberiza pusilla,species
Haemonchus,Haemonchus contortus,species
Lycoriella,Lycoriella sativae,species
